doc_id,line_id,position,token,raw_token,orientation,source,notes
tablet_001,1,1,g001,Glyph-A,normal,source_name,
tablet_001,1,2,g014,Glyph-N,normal,source_name,
tablet_001,1,3,g014,Glyph-N,normal,source_name,
tablet_001,1,4,g032,Glyph-Z,normal,source_name,
tablet_001,2,1,g001,Glyph-A,normal,source_name,
tablet_001,2,2,g032,Glyph-Z,normal,source_name,
tablet_001,2,3,g014,Glyph-N,normal,source_name,
tablet_001,2,4,g088,Glyph-Q,normal,source_name,
tablet_002,1,1,g032,Glyph-Z,normal,source_name,
tablet_002,1,2,g001,Glyph-A,normal,source_name,
tablet_002,1,3,g014,Glyph-N,normal,source_name,
tablet_002,1,4,g014,Glyph-N,normal,source_name,
tablet_002,2,1,g088,Glyph-Q,normal,source_name,
tablet_002,2,2,g032,Glyph-Z,normal,source_name,
tablet_002,2,3,g001,Glyph-A,normal,source_name,
tablet_002,2,4,g014,Glyph-N,normal,source_name,
