doc_id,line_id,position,token,raw_token,orientation,source,link
A,Aa01,1,430!,430!,normal,RR-corpus_phspaelti,.
A,Aa01,2,040,040,normal,RR-corpus_phspaelti,-
A,Aa01,3,320,320,normal,RR-corpus_phspaelti,.
A,Aa01,4,009,009,normal,RR-corpus_phspaelti,-
A,Aa01,5,320,320,normal,RR-corpus_phspaelti,.
A,Aa01,6,009,009,normal,RR-corpus_phspaelti,-
A,Aa01,7,440,440,normal,RR-corpus_phspaelti,-
A,Aa01,8,440,440,normal,RR-corpus_phspaelti,-
A,Aa01,9,440,440,normal,RR-corpus_phspaelti,-
A,Aa01,10,440,440,normal,RR-corpus_phspaelti,-
A,Aa01,11,445,445,normal,RR-corpus_phspaelti,-
A,Aa01,12,695,695,normal,RR-corpus_phspaelti,-
A,Aa01,13,004,004,normal,RR-corpus_phspaelti,.
A,Aa01,14,120a,120a,normal,RR-corpus_phspaelti,-
A,Aa01,15,004,004,normal,RR-corpus_phspaelti,.
A,Aa01,16,067,067,normal,RR-corpus_phspaelti,-
A,Aa01,17,034c,034c,normal,RR-corpus_phspaelti,-
A,Aa01,18,060a,060a,normal,RR-corpus_phspaelti,.
A,Aa01,19,260,260,normal,RR-corpus_phspaelti,-
A,Aa01,20,554a,554a,normal,RR-corpus_phspaelti,-
A,Aa01,21,022bf,022bf,normal,RR-corpus_phspaelti,-
A,Aa01,22,551,551,normal,RR-corpus_phspaelti,.
A,Aa01,23,061c,061c,normal,RR-corpus_phspaelti,-
A,Aa01,24,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,25,552,552,normal,RR-corpus_phspaelti,-
A,Aa01,26,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,27,551,551,normal,RR-corpus_phspaelti,-
A,Aa01,28,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,29,301,301,normal,RR-corpus_phspaelti,.
A,Aa01,30,082,082,normal,RR-corpus_phspaelti,-
A,Aa01,31,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,32,008a,008a,normal,RR-corpus_phspaelti,.
A,Aa01,33,451V,451V,normal,RR-corpus_phspaelti,-
A,Aa01,34,022bf,022bf,normal,RR-corpus_phspaelti,-
A,Aa01,35,008a,008a,normal,RR-corpus_phspaelti,:
A,Aa01,36,005,005,normal,RR-corpus_phspaelti,-
A,Aa01,37,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,38,008a,008a,normal,RR-corpus_phspaelti,.
A,Aa01,39,006,006,normal,RR-corpus_phspaelti,-
A,Aa01,40,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,41,008a,008a,normal,RR-corpus_phspaelti,-
A,Aa01,42,004,004,normal,RR-corpus_phspaelti,.
A,Aa01,43,064a,064a,normal,RR-corpus_phspaelti,-
A,Aa01,44,022bf,022bf,normal,RR-corpus_phspaelti,-
A,Aa01,45,553,553,normal,RR-corpus_phspaelti,-
A,Aa01,46,022bfy,022bfy,normal,RR-corpus_phspaelti,-
A,Aa01,47,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,48,003a,003a,normal,RR-corpus_phspaelti,-
A,Aa01,49,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,50,003a,003a,normal,RR-corpus_phspaelti,-
A,Aa01,51,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,52,095aj,095aj,normal,RR-corpus_phspaelti,-
A,Aa01,53,065,065,normal,RR-corpus_phspaelti,-
A,Aa01,54,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,55,074fx,074fx,normal,RR-corpus_phspaelti,-
A,Aa01,56,065,065,normal,RR-corpus_phspaelti,-
A,Aa01,57,001,001,normal,RR-corpus_phspaelti,-
A,Aa01,58,065,065,normal,RR-corpus_phspaelti,-
A,Aa01,59,022,022,normal,RR-corpus_phspaelti,-
A,Aa01,60,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,61,450y,450y,normal,RR-corpus_phspaelti,-
A,Aa01,62,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,63,009,009,normal,RR-corpus_phspaelti,-
A,Aa01,64,065,065,normal,RR-corpus_phspaelti,.
A,Aa01,65,006y,006y,normal,RR-corpus_phspaelti,-
A,Aa01,66,004,004,normal,RR-corpus_phspaelti,-
A,Aa01,67,004,004,normal,RR-corpus_phspaelti,-
A,Aa01,68,004,004,normal,RR-corpus_phspaelti,-
A,Aa01,69,007,007,normal,RR-corpus_phspaelti,-
A,Aa01,70,002b,002b,normal,RR-corpus_phspaelti,-
A,Aa01,71,060a,060a,normal,RR-corpus_phspaelti,-
A,Aa01,72,093,093,normal,RR-corpus_phspaelti,-
A,Aa01,73,070,070,normal,RR-corpus_phspaelti,-
A,Aa01,74,200,200,normal,RR-corpus_phspaelti,-
A,Aa01,75,394a,394a,normal,RR-corpus_phspaelti,-
A,Aa01,76,008a,008a,normal,RR-corpus_phspaelti,-
A,Aa01,77,001,001,normal,RR-corpus_phspaelti,.
A,Aa01,78,008a,008a,normal,RR-corpus_phspaelti,-
A,Aa01,79,421,421,normal,RR-corpus_phspaelti,.
A,Aa01,80,739,739,normal,RR-corpus_phspaelti,-
A,Aa01,81,300,300,normal,RR-corpus_phspaelti,-
A,Aa01,82,445,445,normal,RR-corpus_phspaelti,-
A,Aa01,83,063a,063a,normal,RR-corpus_phspaelti,-
A,Aa01,84,384,384,normal,RR-corpus_phspaelti,-
A,Aa01,85,015af,015af,normal,RR-corpus_phspaelti,-
A,Aa01,86,384,384,normal,RR-corpus_phspaelti,-
A,Aa01,87,066ax,066ax,normal,RR-corpus_phspaelti,-
A,Aa01,88,498V,498V,normal,RR-corpus_phspaelti,-
A,Aa01,89,025,025,normal,RR-corpus_phspaelti,-
A,Aa01,90,301,301,normal,RR-corpus_phspaelti,-
A,Aa01,91,027f,027f,normal,RR-corpus_phspaelti,-
A,Aa01,92,630,630,normal,RR-corpus_phspaelti,.
A,Aa01,93,678,678,normal,RR-corpus_phspaelti,-
A,Aa01,94,739ay,739ay,normal,RR-corpus_phspaelti,.
A,Aa01,95,052x,052x,normal,RR-corpus_phspaelti,-
A,Aa01,96,067,067,normal,RR-corpus_phspaelti,-
A,Aa01,97,655!,655!,normal,RR-corpus_phspaelti,-
A,Aa01,98,044ax,044ax,normal,RR-corpus_phspaelti,-
A,Aa01,99,002,002,normal,RR-corpus_phspaelti,-
A,Aa01,100,420,420,normal,RR-corpus_phspaelti,-
A,Aa01,101,290,290,normal,RR-corpus_phspaelti,.
A,Aa01,102,401!,401!,normal,RR-corpus_phspaelti,-
A,Aa01,103,658,658,normal,RR-corpus_phspaelti,-
A,Aa01,104,200i,200i,normal,RR-corpus_phspaelti,.
A,Aa01,105,093i,093i,normal,RR-corpus_phspaelti,-
A,Aa01,106,670,670,normal,RR-corpus_phspaelti,-
A,Aa01,107,711y,711y,normal,RR-corpus_phspaelti,.
A,Aa01,108,002,002,normal,RR-corpus_phspaelti,-
A,Aa01,109,741,741,normal,RR-corpus_phspaelti,-
A,Aa01,110,001,001,normal,RR-corpus_phspaelti,.
A,Aa01,111,006y,006y,normal,RR-corpus_phspaelti,-
A,Aa01,112,376a,376a,normal,RR-corpus_phspaelti,-
A,Aa01,113,539!,539!,normal,RR-corpus_phspaelti,-
