doc_id,line_id,position,token,raw_token,orientation,source,notes
seal_001,1,1,i004,i004,normal,synthetic_indus_like,
seal_001,1,2,i004,i004,normal,synthetic_indus_like,
seal_001,1,3,i029,i029,normal,synthetic_indus_like,
seal_001,2,1,i047,i047,normal,synthetic_indus_like,
seal_001,2,2,i089,i089,normal,synthetic_indus_like,
seal_001,3,1,i003,i003,normal,synthetic_indus_like,
seal_001,3,2,i034,i034,normal,synthetic_indus_like,
seal_001,3,3,i016,i016,normal,synthetic_indus_like,
seal_001,4,1,i005,i005,normal,synthetic_indus_like,
seal_001,4,2,i018,i018,normal,synthetic_indus_like,
seal_001,5,1,i006,i006,normal,synthetic_indus_like,
seal_001,5,2,i004,i004,normal,synthetic_indus_like,
seal_001,5,3,i038,i038,normal,synthetic_indus_like,
seal_001,6,1,i038,i038,normal,synthetic_indus_like,
seal_001,6,2,i069,i069,normal,synthetic_indus_like,
seal_001,7,1,i003,i003,normal,synthetic_indus_like,
seal_001,7,2,i036,i036,normal,synthetic_indus_like,
seal_001,7,3,i019,i019,normal,synthetic_indus_like,
seal_001,8,1,i045,i045,normal,synthetic_indus_like,
seal_001,8,2,i137,i137,normal,synthetic_indus_like,
seal_001,9,1,i007,i007,normal,synthetic_indus_like,
seal_001,9,2,i003,i003,normal,synthetic_indus_like,
seal_001,9,3,i050,i050,normal,synthetic_indus_like,
seal_001,10,1,i006,i006,normal,synthetic_indus_like,
seal_001,10,2,i040,i040,normal,synthetic_indus_like,
seal_001,10,3,i091,i091,normal,synthetic_indus_like,
seal_001,11,1,i005,i005,normal,synthetic_indus_like,
seal_001,11,2,i054,i054,normal,synthetic_indus_like,
seal_001,11,3,i138,i138,normal,synthetic_indus_like,
seal_001,12,1,i006,i006,normal,synthetic_indus_like,
seal_001,12,2,i022,i022,normal,synthetic_indus_like,
seal_001,12,3,i136,i136,normal,synthetic_indus_like,
seal_001,13,1,i009,i009,normal,synthetic_indus_like,
seal_001,13,2,i013,i013,normal,synthetic_indus_like,
seal_001,14,1,i010,i010,normal,synthetic_indus_like,
seal_001,14,2,i057,i057,normal,synthetic_indus_like,
seal_001,14,3,i018,i018,normal,synthetic_indus_like,
seal_001,15,1,i005,i005,normal,synthetic_indus_like,
seal_001,15,2,i050,i050,normal,synthetic_indus_like,
seal_001,15,3,i092,i092,normal,synthetic_indus_like,
seal_001,16,1,i008,i008,normal,synthetic_indus_like,
seal_001,16,2,i018,i018,normal,synthetic_indus_like,
seal_001,16,3,i014,i014,normal,synthetic_indus_like,
seal_001,17,1,i005,i005,normal,synthetic_indus_like,
seal_001,17,2,i050,i050,normal,synthetic_indus_like,
seal_001,17,3,i015,i015,normal,synthetic_indus_like,
seal_001,18,1,i009,i009,normal,synthetic_indus_like,
seal_001,18,2,i003,i003,normal,synthetic_indus_like,
seal_001,18,3,i024,i024,normal,synthetic_indus_like,
seal_001,19,1,i010,i010,normal,synthetic_indus_like,
seal_001,19,2,i002,i002,normal,synthetic_indus_like,
seal_001,19,3,i047,i047,normal,synthetic_indus_like,
seal_001,20,1,i005,i005,normal,synthetic_indus_like,
seal_001,20,2,i050,i050,normal,synthetic_indus_like,
seal_001,20,3,i016,i016,normal,synthetic_indus_like,
seal_001,21,1,i004,i004,normal,synthetic_indus_like,
seal_001,21,2,i044,i044,normal,synthetic_indus_like,
seal_001,21,3,i015,i015,normal,synthetic_indus_like,
seal_001,22,1,i009,i009,normal,synthetic_indus_like,
seal_001,22,2,i030,i030,normal,synthetic_indus_like,
seal_001,22,3,i015,i015,normal,synthetic_indus_like,
seal_001,23,1,i002,i002,normal,synthetic_indus_like,
seal_001,23,2,i030,i030,normal,synthetic_indus_like,
seal_001,23,3,i130,i130,normal,synthetic_indus_like,
seal_001,24,1,i007,i007,normal,synthetic_indus_like,
seal_001,24,2,i020,i020,normal,synthetic_indus_like,
seal_001,25,1,i003,i003,normal,synthetic_indus_like,
seal_001,25,2,i007,i007,normal,synthetic_indus_like,
seal_001,25,3,i022,i022,normal,synthetic_indus_like,
seal_001,26,1,i004,i004,normal,synthetic_indus_like,
seal_001,26,2,i017,i017,normal,synthetic_indus_like,
seal_001,26,3,i016,i016,normal,synthetic_indus_like,
seal_001,27,1,i007,i007,normal,synthetic_indus_like,
seal_001,27,2,i043,i043,normal,synthetic_indus_like,
seal_001,27,3,i101,i101,normal,synthetic_indus_like,
seal_001,28,1,i048,i048,normal,synthetic_indus_like,
seal_001,28,2,i061,i061,normal,synthetic_indus_like,
seal_001,29,1,i004,i004,normal,synthetic_indus_like,
