doc_id,line_id,position,token,raw_token,orientation,source,notes
synthetic,1,DET,d02,d02,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,1,NOUN,n01,n01,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,1,CONJ,c03,c03,normal,synthetic_v2_pcgrammar,true_pos=CONJ
synthetic,1,DET,d04,d04,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,1,ADJ,a04,a04,normal,synthetic_v2_pcgrammar,true_pos=ADJ
synthetic,1,NOUN,n05,n05,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,1,VERB,v04,v04,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,1,DET,d02,d02,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,1,NOUN,n19,n19,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,2,DET,d07,d07,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,2,NOUN,n02,n02,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,2,VERB,v01,v01,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,2,ADV,w01,w01,normal,synthetic_v2_pcgrammar,true_pos=ADV
synthetic,2,DET,d04,d04,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,2,NOUN,n08,n08,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,3,PRON,r01,r01,normal,synthetic_v2_pcgrammar,true_pos=PRON
synthetic,3,VERB,v18,v18,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,3,DET,d04,d04,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,3,NOUN,n23,n23,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,3,DET,d07,d07,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,3,NUM,m02,m02,normal,synthetic_v2_pcgrammar,true_pos=NUM
synthetic,3,NOUN,n15,n15,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,4,DET,d05,d05,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,4,NOUN,n26,n26,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,4,VERB,v01,v01,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,4,DET,d03,d03,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,4,ADJ,a12,a12,normal,synthetic_v2_pcgrammar,true_pos=ADJ
synthetic,4,NOUN,n14,n14,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,4,PREP,p03,p03,normal,synthetic_v2_pcgrammar,true_pos=PREP
synthetic,4,DET,d05,d05,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,4,NUM,m02,m02,normal,synthetic_v2_pcgrammar,true_pos=NUM
synthetic,4,NOUN,n07,n07,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,4,PREP,p03,p03,normal,synthetic_v2_pcgrammar,true_pos=PREP
synthetic,4,DET,d02,d02,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,4,QUANT,q01,q01,normal,synthetic_v2_pcgrammar,true_pos=QUANT
synthetic,4,NOUN,n13,n13,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,5,DET,d02,d02,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,5,NOUN,n12,n12,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,5,VERB,v12,v12,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,5,PRON,r05,r05,normal,synthetic_v2_pcgrammar,true_pos=PRON
synthetic,5,ADV,w01,w01,normal,synthetic_v2_pcgrammar,true_pos=ADV
synthetic,6,DET,d08,d08,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,6,NOUN,n18,n18,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,6,VERB,v04,v04,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,6,PRON,r07,r07,normal,synthetic_v2_pcgrammar,true_pos=PRON
synthetic,6,DET,d02,d02,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,6,QUANT,q03,q03,normal,synthetic_v2_pcgrammar,true_pos=QUANT
synthetic,6,NOUN,n27,n27,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,7,DET,d06,d06,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,7,NUM,m05,m05,normal,synthetic_v2_pcgrammar,true_pos=NUM
synthetic,7,NOUN,n07,n07,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,7,CONJ,c01,c01,normal,synthetic_v2_pcgrammar,true_pos=CONJ
synthetic,7,DET,d01,d01,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,7,ADJ,a11,a11,normal,synthetic_v2_pcgrammar,true_pos=ADJ
synthetic,7,NOUN,n08,n08,normal,synthetic_v2_pcgrammar,true_pos=NOUN
synthetic,7,VERB,v10,v10,normal,synthetic_v2_pcgrammar,true_pos=VERB
synthetic,7,DET,d02,d02,normal,synthetic_v2_pcgrammar,true_pos=DET
synthetic,7,NOUN,n28,n28,normal,synthetic_v2_pcgrammar,true_pos=NOUN
