doc_id,line_id,position,token,raw_token,orientation,source,notes
synthetic,1,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,1,NOUN,r08,r08,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,1,CONJ,m05,m05,normal,synthetic_candidate_transformed,true_pos=CONJ
synthetic,1,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,1,ADJ,n24,n24,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,1,NOUN,p06,p06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,1,VERB,n28,n28,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,1,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,1,NOUN,v17,v17,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,2,DET,n18,n18,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,2,NOUN,m01,m01,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,2,VERB,v10,v10,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,2,ADV,x10,x10,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,2,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,2,NOUN,a11,a11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,3,PRON,p01,p01,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,3,VERB,w02,w02,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,3,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,3,NOUN,n21,n21,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,3,DET,n18,n18,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,3,NUM,n01,n01,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,3,NOUN,r01,r01,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,NOUN,q02,q02,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,VERB,v10,v10,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,4,DET,c01,c01,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,ADJ,c03,c03,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,4,NOUN,r06,r06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,PREP,v06,v06,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,4,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,NUM,n01,n01,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,4,NOUN,d06,d06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,PREP,v06,v06,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,4,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,QUANT,q01,q01,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,4,NOUN,n29,n29,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,5,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,5,NOUN,v01,v01,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,5,VERB,a01,a01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,5,PRON,n08,n08,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,5,ADV,x10,x10,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,6,DET,v13,v13,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,6,NOUN,n22,n22,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,6,VERB,n28,n28,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,6,PRON,d01,d01,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,6,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,6,QUANT,n10,n10,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,6,NOUN,m04,m04,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,DET,n27,n27,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,NUM,r05,r05,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,7,NOUN,d06,d06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,CONJ,d04,d04,normal,synthetic_candidate_transformed,true_pos=CONJ
synthetic,7,DET,x06,x06,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,ADJ,a04,a04,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,7,NOUN,a11,a11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,VERB,x08,x08,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,7,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,NOUN,n03,n03,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,PREP,m02,m02,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,7,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,NOUN,n29,n29,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,8,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,8,NUM,p03,p03,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,8,NOUN,n09,n09,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,8,VERB,a01,a01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,8,ADV,n14,n14,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,9,PRON,a03,a03,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,9,VERB,a01,a01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,9,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,9,NUM,x01,x01,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,9,NOUN,v09,v09,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,9,PREP,r03,r03,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,9,NAME,n19,n19,normal,synthetic_candidate_transformed,true_pos=NAME
synthetic,9,DET,c01,c01,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,9,QUANT,v18,v18,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,9,NOUN,n07,n07,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,10,DET,v13,v13,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,10,ADJ,c04,c04,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,10,NOUN,v09,v09,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,10,VERB,w02,w02,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,11,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,11,NOUN,v16,v16,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,11,VERB,n26,n26,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,11,DET,x06,x06,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,11,NOUN,a11,a11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,12,DET,x06,x06,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,12,ADJ,v03,v03,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,12,NOUN,n29,n29,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,12,VERB,r07,r07,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,12,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,12,NOUN,d06,d06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,12,PREP,m03,m03,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,12,DET,n27,n27,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,12,NOUN,d06,d06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,13,DET,v13,v13,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,13,NUM,p03,p03,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,13,NOUN,n12,n12,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,13,VERB,v12,v12,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,13,DET,c01,c01,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,13,NOUN,v09,v09,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,14,DET,c01,c01,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,14,ADJ,n24,n24,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,14,NOUN,p04,p04,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,14,VERB,w02,w02,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,14,NAME,n05,n05,normal,synthetic_candidate_transformed,true_pos=NAME
synthetic,14,PREP,v06,v06,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,14,DET,n18,n18,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,14,NUM,r05,r05,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,14,NOUN,n29,n29,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,14,PREP,v06,v06,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,14,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,14,ADJ,n17,n17,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,14,NOUN,p05,p05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,15,NAME,a12,a12,normal,synthetic_candidate_transformed,true_pos=NAME
synthetic,15,VERB,x04,x04,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,15,PRON,p01,p01,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,15,PREP,v04,v04,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,15,DET,c01,c01,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,15,QUANT,v18,v18,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,15,NOUN,q02,q02,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,16,DET,n18,n18,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,16,NUM,r05,r05,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,16,NOUN,m06,m06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,16,VERB,v20,v20,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,16,DET,n18,n18,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,16,ADJ,v07,v07,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,16,NOUN,r01,r01,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,16,PREP,m03,m03,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,16,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,16,NOUN,n22,n22,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,17,DET,x06,x06,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,17,NOUN,v16,v16,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,17,VERB,n28,n28,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,17,ADV,n13,n13,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,17,DET,n27,n27,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,17,QUANT,q01,q01,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,17,NOUN,n30,n30,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,18,DET,n18,n18,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,18,NUM,n01,n01,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,18,NOUN,r01,r01,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,18,VERB,v10,v10,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,19,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,19,NUM,r05,r05,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,19,NOUN,x05,x05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,19,VERB,v15,v15,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,19,DET,v19,v19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,19,ADJ,a04,a04,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,19,NOUN,n30,n30,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,19,PREP,r03,r03,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,19,DET,a08,a08,normal,synthetic_candidate_transformed,true_pos=DET
