doc_id,line_id,position,token,raw_token
tatoeba_fra,3095,1,aujourd'hui,Aujourd'hui
tatoeba_fra,3095,2,nous,nous
tatoeba_fra,3095,3,sommes,sommes
tatoeba_fra,3095,4,le,le
tatoeba_fra,3095,6,juin,juin
tatoeba_fra,3095,7,et,et
tatoeba_fra,3095,8,c'est,c'est
tatoeba_fra,3095,9,l'anniversaire,l'anniversaire
tatoeba_fra,3095,10,de,de
tatoeba_fra,3095,11,muiriel,Muiriel
tatoeba_fra,3102,1,ça,Ça
tatoeba_fra,3102,2,ne,ne
tatoeba_fra,3102,3,va,va
tatoeba_fra,3102,4,jamais,jamais
tatoeba_fra,3102,5,finir,finir.
tatoeba_fra,3112,1,c'est,C'est
tatoeba_fra,3112,2,une,une
tatoeba_fra,3112,3,tâche,tâche
tatoeba_fra,3112,4,difficile,"difficile,"
tatoeba_fra,3112,5,choisir,choisir
tatoeba_fra,3112,6,ce,ce
tatoeba_fra,3112,7,qui,qui
tatoeba_fra,3112,8,est,est
tatoeba_fra,3112,10,bon,bon
tatoeba_fra,3112,12,ou,ou
tatoeba_fra,3112,14,mauvais,mauvais
tatoeba_fra,3112,16,mais,mais
tatoeba_fra,3112,17,il,il
tatoeba_fra,3112,18,faut,faut
tatoeba_fra,3112,19,le,le
tatoeba_fra,3112,20,faire,faire.
tatoeba_fra,3141,1,il,Il
tatoeba_fra,3141,2,me,me
tatoeba_fra,3141,3,donne,donne
tatoeba_fra,3141,4,des,des
tatoeba_fra,3141,5,coups,coups
tatoeba_fra,3141,6,de,de
tatoeba_fra,3141,7,pied,pied
tatoeba_fra,3143,1,alors,Alors
tatoeba_fra,3143,2,il,il
tatoeba_fra,3143,3,y,y
tatoeba_fra,3143,4,a,a
tatoeba_fra,3143,5,un,un
tatoeba_fra,3143,6,problème,problème...
tatoeba_fra,3147,1,si,Si
tatoeba_fra,3147,2,je,je
tatoeba_fra,3147,3,pouvais,pouvais
tatoeba_fra,3147,4,être,être
tatoeba_fra,3147,5,comme,comme
tatoeba_fra,3147,6,ça,ça...
tatoeba_fra,3152,1,je,Je
tatoeba_fra,3152,2,ne,ne
tatoeba_fra,3152,3,veux,veux
tatoeba_fra,3152,4,pas,pas
tatoeba_fra,3152,5,être,être
tatoeba_fra,3152,6,lamentable,"lamentable,"
tatoeba_fra,3152,7,je,je
tatoeba_fra,3152,8,veux,veux
tatoeba_fra,3152,9,être,être
tatoeba_fra,3152,10,cool,cool
tatoeba_fra,3165,1,parfois,Parfois
tatoeba_fra,3165,2,je,je
tatoeba_fra,3165,3,ne,ne
tatoeba_fra,3165,4,peux,peux
tatoeba_fra,3165,5,pas,pas
tatoeba_fra,3165,6,m'empêcher,m'empêcher
tatoeba_fra,3165,7,de,de
tatoeba_fra,3165,8,montrer,montrer
tatoeba_fra,3165,9,des,des
tatoeba_fra,3165,10,émotions,émotions.
tatoeba_fra,3206,1,il,Il
tatoeba_fra,3206,2,y,y
tatoeba_fra,3206,3,a,a
tatoeba_fra,3206,4,un,un
tatoeba_fra,3206,5,problème,problème
tatoeba_fra,3206,6,que,que
tatoeba_fra,3206,7,tu,tu
tatoeba_fra,3206,8,ne,ne
tatoeba_fra,3206,9,vois,vois
tatoeba_fra,3206,10,pas,pas.
tatoeba_fra,3211,1,je,Je
tatoeba_fra,3211,2,dois,dois
tatoeba_fra,3211,3,aller,aller
tatoeba_fra,3211,4,au,au
tatoeba_fra,3211,5,lit,lit.
tatoeba_fra,3236,1,est-ce,Est-ce
tatoeba_fra,3236,2,qu'on,qu'on
tatoeba_fra,3236,3,peut,peut
tatoeba_fra,3236,4,formuler,formuler
tatoeba_fra,3236,5,ça,ça
tatoeba_fra,3236,6,d'une,d'une
tatoeba_fra,3236,7,autre,autre
tatoeba_fra,3236,8,manière,manière
tatoeba_fra,3238,1,j'ai,J'ai
tatoeba_fra,3238,2,trouvé,trouvé
tatoeba_fra,3238,3,une,une
tatoeba_fra,3238,4,solution,"solution,"
tatoeba_fra,3238,5,mais,mais
tatoeba_fra,3238,6,je,je
tatoeba_fra,3238,7,l'ai,l'ai
tatoeba_fra,3238,8,trouvée,trouvée
tatoeba_fra,3238,9,tellement,tellement
tatoeba_fra,3238,10,vite,vite
tatoeba_fra,3238,11,que,que
tatoeba_fra,3238,12,ça,ça
tatoeba_fra,3238,13,peut,peut
tatoeba_fra,3238,14,pas,pas
tatoeba_fra,3238,15,être,être
tatoeba_fra,3238,16,la,la
tatoeba_fra,3238,17,bonne,bonne.
tatoeba_fra,3248,1,je,Je
tatoeba_fra,3248,2,ne,ne
tatoeba_fra,3248,3,peux,peux
tatoeba_fra,3248,4,qu'attendre,qu'attendre.
tatoeba_fra,3256,1,mais,Mais
tatoeba_fra,3256,2,la,la
tatoeba_fra,3256,3,possibilité,possibilité
tatoeba_fra,3256,4,semble,semble
tatoeba_fra,3256,5,improbable,improbable.
tatoeba_fra,3258,1,je,Je
tatoeba_fra,3258,2,n'aurais,n'aurais
tatoeba_fra,3258,3,pas,pas
tatoeba_fra,3258,4,dû,dû
tatoeba_fra,3258,5,me,me
tatoeba_fra,3258,6,déconnecter,déconnecter.
tatoeba_fra,3272,1,comment,Comment
tatoeba_fra,3272,2,pourrais-je,pourrais-je
tatoeba_fra,3272,3,être,être
tatoeba_fra,3272,4,un,un
tatoeba_fra,3272,5,robot,robot
tatoeba_fra,3272,7,les,Les
tatoeba_fra,3272,8,robots,robots
tatoeba_fra,3272,9,ne,ne
tatoeba_fra,3272,10,rêvent,rêvent
tatoeba_fra,3272,11,pas,pas.
tatoeba_fra,3287,1,les,Les
tatoeba_fra,3287,2,étrangers,étrangers
tatoeba_fra,3287,3,m'intriguent,m'intriguent.
tatoeba_fra,3288,1,quoi,Quoi
tatoeba_fra,3288,2,que,que
tatoeba_fra,3288,3,je,je
tatoeba_fra,3288,4,fasse,"fasse,"
tatoeba_fra,3288,5,elle,elle
tatoeba_fra,3288,6,dit,dit
tatoeba_fra,3288,7,que,que
tatoeba_fra,3288,8,je,je
tatoeba_fra,3288,9,peux,peux
tatoeba_fra,3288,10,faire,faire
tatoeba_fra,3288,11,mieux,mieux.
tatoeba_fra,3326,1,euh,Euh...
tatoeba_fra,3326,2,comment,Comment
tatoeba_fra,3326,3,ça,ça
tatoeba_fra,3326,4,marche,marche
tatoeba_fra,3330,2,ça,Ça
tatoeba_fra,3330,3,semble,semble
tatoeba_fra,3330,4,très,très
tatoeba_fra,3330,5,intéressant,intéressant
tatoeba_fra,3330,7,dit,dit
tatoeba_fra,3330,8,hiroshi,Hiroshi.
tatoeba_fra,3348,1,le,Le
tatoeba_fra,3348,2,communisme,communisme
tatoeba_fra,3348,3,ne,ne
tatoeba_fra,3348,4,sera,sera
tatoeba_fra,3348,5,jamais,jamais
tatoeba_fra,3348,6,atteint,atteint
tatoeba_fra,3348,7,de,de
tatoeba_fra,3348,8,mon,mon
tatoeba_fra,3348,9,vivant,vivant.
tatoeba_fra,3353,1,les,Les
tatoeba_fra,3353,2,allemands,Allemands
tatoeba_fra,3353,3,sont,sont
tatoeba_fra,3353,4,très,très
tatoeba_fra,3353,5,ingénieux,ingénieux.
tatoeba_fra,3359,2,pourquoi,Pourquoi
tatoeba_fra,3359,3,tu,tu
tatoeba_fra,3359,4,n'y,n'y
tatoeba_fra,3359,5,vas,vas
tatoeba_fra,3359,6,pas,pas
tatoeba_fra,3359,10,parce,Parce
tatoeba_fra,3359,11,que,que
tatoeba_fra,3359,12,je,je
tatoeba_fra,3359,13,ne,ne
tatoeba_fra,3359,14,veux,veux
tatoeba_fra,3359,15,pas,pas.
tatoeba_fra,3410,2,maman,"Maman,"
tatoeba_fra,3410,3,est-ce,est-ce
tatoeba_fra,3410,4,que,que
tatoeba_fra,3410,5,je,je
tatoeba_fra,3410,6,peux,peux
tatoeba_fra,3410,7,manger,manger
tatoeba_fra,3410,8,un,un
tatoeba_fra,3410,9,biscuit,biscuit
tatoeba_fra,3410,13,non,Non.
tatoeba_fra,3410,14,il,Il
tatoeba_fra,3410,15,ne,ne
tatoeba_fra,3410,16,faut,faut
tatoeba_fra,3410,17,pas,pas
tatoeba_fra,3410,18,manger,manger
tatoeba_fra,3410,19,entre,entre
tatoeba_fra,3410,20,les,les
tatoeba_fra,3410,21,repas,repas.
tatoeba_fra,3418,1,l'imagination,L'imagination
tatoeba_fra,3418,2,affecte,affecte
tatoeba_fra,3418,3,tous,tous
tatoeba_fra,3418,4,les,les
tatoeba_fra,3418,5,aspects,aspects
tatoeba_fra,3418,6,de,de
tatoeba_fra,3418,7,notre,notre
tatoeba_fra,3418,8,vie,vie.
tatoeba_fra,3422,1,je,Je
tatoeba_fra,3422,2,ne,ne
tatoeba_fra,3422,3,peux,peux
tatoeba_fra,3422,4,pas,pas
tatoeba_fra,3422,5,vivre,vivre
tatoeba_fra,3422,6,sans,sans
tatoeba_fra,3422,7,télé,télé.
tatoeba_fra,3424,1,rien,Rien
tatoeba_fra,3424,2,n'est,n'est
tatoeba_fra,3424,3,accompli,accompli
tatoeba_fra,3424,4,sans,sans
tatoeba_fra,3424,5,effort,effort.
tatoeba_fra,3451,1,se,Se
tatoeba_fra,3451,2,surprendre,"surprendre,"
tatoeba_fra,3451,3,s'étonner,"s'étonner,"
tatoeba_fra,3451,4,c'est,c'est
tatoeba_fra,3451,5,commencer,commencer
tatoeba_fra,3451,6,à,à
tatoeba_fra,3451,7,comprendre,comprendre.
tatoeba_fra,3452,1,pas,Pas
tatoeba_fra,3452,2,de,de
tatoeba_fra,3452,3,doute,doute
tatoeba_fra,3452,5,l'univers,l'univers
tatoeba_fra,3452,6,est,est
tatoeba_fra,3452,7,infini,infini.
tatoeba_fra,3455,1,nous,Nous
tatoeba_fra,3455,2,ne,ne
tatoeba_fra,3455,3,voyons,voyons
tatoeba_fra,3455,4,pas,pas
tatoeba_fra,3455,5,les,les
tatoeba_fra,3455,6,choses,choses
tatoeba_fra,3455,7,comme,comme
tatoeba_fra,3455,8,elles,elles
tatoeba_fra,3455,9,sont,"sont,"
tatoeba_fra,3455,10,mais,mais
tatoeba_fra,3455,11,comme,comme
tatoeba_fra,3455,12,nous,nous
tatoeba_fra,3455,13,sommes,sommes.
tatoeba_fra,3461,1,comment,Comment
tatoeba_fra,3461,2,ça,"ça,"
tatoeba_fra,3461,3,tu,tu
tatoeba_fra,3461,4,ne,ne
tatoeba_fra,3461,5,sais,sais
tatoeba_fra,3461,6,pas,pas
tatoeba_fra,3474,1,quelle,Quelle
tatoeba_fra,3474,2,heure,heure
tatoeba_fra,3474,3,est-il,est-il
tatoeba_fra,3477,1,l'italie,L'Italie
tatoeba_fra,3477,2,est,est
tatoeba_fra,3477,3,un,un
tatoeba_fra,3477,4,très,très
tatoeba_fra,3477,5,beau,beau
tatoeba_fra,3477,6,pays,pays.
tatoeba_fra,3508,1,aujourd'hui,"Aujourd'hui,"
tatoeba_fra,3508,2,il,il
tatoeba_fra,3508,3,fait,fait
tatoeba_fra,3508,4,très,très
tatoeba_fra,3508,5,chaud,chaud.
tatoeba_fra,3514,1,l'écurie,L'écurie
tatoeba_fra,3514,2,est,est
tatoeba_fra,3514,3,bien,bien
tatoeba_fra,3514,4,vide,vide
tatoeba_fra,3514,5,depuis,depuis
tatoeba_fra,3514,6,que,que
tatoeba_fra,3514,7,le,le
tatoeba_fra,3514,8,cheval,cheval
tatoeba_fra,3514,9,est,est
tatoeba_fra,3514,10,mort,mort.
tatoeba_fra,3518,1,regarde-moi,Regarde-moi
tatoeba_fra,3518,2,quand,quand
tatoeba_fra,3518,3,je,je
tatoeba_fra,3518,4,te,te
tatoeba_fra,3518,5,parle,parle
tatoeba_fra,3524,1,comment,Comment
tatoeba_fra,3524,2,en,en
tatoeba_fra,3524,3,es-tu,es-tu
tatoeba_fra,3524,4,venu,venu
tatoeba_fra,3524,5,à,à
tatoeba_fra,3524,6,cette,cette
tatoeba_fra,3524,7,idée,idée
tatoeba_fra,3524,8,folle,folle
tatoeba_fra,3536,1,comment,Comment
tatoeba_fra,3536,2,vas-tu,vas-tu
tatoeba_fra,3536,4,as-tu,As-tu
tatoeba_fra,3536,5,fait,fait
tatoeba_fra,3536,6,un,un
tatoeba_fra,3536,7,bon,bon
tatoeba_fra,3536,8,voyage,voyage
tatoeba_fra,3544,1,ça,Ça
tatoeba_fra,3544,2,serait,serait
tatoeba_fra,3544,3,trop,trop
tatoeba_fra,3544,4,cool,cool
tatoeba_fra,3544,5,si,si
tatoeba_fra,3544,6,je,je
tatoeba_fra,3544,7,pouvais,pouvais
tatoeba_fra,3544,8,parler,parler
tatoeba_fra,3544,9,dix,dix
tatoeba_fra,3544,10,langues,langues
tatoeba_fra,3566,1,tout,Tout
tatoeba_fra,3566,2,ce,ce
tatoeba_fra,3566,3,qui,qui
tatoeba_fra,3566,4,peut,peut
tatoeba_fra,3566,5,être,être
tatoeba_fra,3566,6,mal,mal
tatoeba_fra,3566,7,compris,compris
tatoeba_fra,3566,8,le,le
tatoeba_fra,3566,9,sera,sera.
tatoeba_fra,3582,1,vous,Vous
tatoeba_fra,3582,2,ne,ne
tatoeba_fra,3582,3,savez,savez
tatoeba_fra,3582,4,pas,pas
tatoeba_fra,3582,5,qui,qui
tatoeba_fra,3582,6,je,je
tatoeba_fra,3582,7,suis,suis.
tatoeba_fra,3592,1,jeter,Jeter
tatoeba_fra,3592,2,le,le
tatoeba_fra,3592,3,bébé,bébé
tatoeba_fra,3592,4,avec,avec
tatoeba_fra,3592,5,l'eau,l'eau
tatoeba_fra,3592,6,du,du
tatoeba_fra,3592,7,bain,bain.
tatoeba_fra,3600,2,as-tu,As-tu
tatoeba_fra,3600,3,fini,fini
tatoeba_fra,3600,7,au,Au
tatoeba_fra,3600,8,contraire,"contraire,"
tatoeba_fra,3600,9,je,je
tatoeba_fra,3600,10,n'ai,n'ai
tatoeba_fra,3600,11,même,même
tatoeba_fra,3600,12,pas,pas
tatoeba_fra,3600,13,encore,encore
tatoeba_fra,3600,14,commencé,commencé.
tatoeba_fra,3601,2,bonjour,Bonjour
tatoeba_fra,3601,4,dit,dit
tatoeba_fra,3601,5,tom,Tom
tatoeba_fra,3601,6,avec,avec
tatoeba_fra,3601,7,un,un
tatoeba_fra,3601,8,sourire,sourire.
tatoeba_fra,3631,1,les,Les
tatoeba_fra,3631,2,vacances,vacances
tatoeba_fra,3631,3,sont,sont
tatoeba_fra,3631,4,finies,finies
tatoeba_fra,3631,5,maintenant,maintenant.
tatoeba_fra,3645,1,t'es,T'es
tatoeba_fra,3645,2,irrésistible,irrésistible.
tatoeba_fra,3654,1,je,Je
tatoeba_fra,3654,2,ne,ne
tatoeba_fra,3654,3,peux,peux
tatoeba_fra,3654,4,pas,pas
tatoeba_fra,3654,5,me,me
tatoeba_fra,3654,6,couper,couper
tatoeba_fra,3654,7,les,les
