source_text,target_glyphs,source_len,target_len,categories,pair_id
nga rima tangata rua,g001 g016 g018 g071,4,4,det noun noun num,1
tangata i Matua te ihu tangata tangata Tuu e vahine tangata tangata,g021 g100 g100 g094 g008 g031 g017 g017 g088 g001 g017 g021 g022,12,13,noun part name det noun noun noun name det noun noun noun,2
tangata te maui,g032 g001 g021,3,3,noun det noun,3
tena tahi kai ono ana haere tangata,g004 g073 g052 g052 g073 g018 g051 g019,7,8,det num verb num noun verb noun,4
taringa hare i atu manu haere na,g018 g025 g097 g096 g096 g017 g051 g011 g011,7,9,noun noun part part noun verb det,5
Hina mo ora nga noho atu te hele noho i,g081 g096 g053 g003 g051 g099 g001 g051 g051 g096,10,10,name part verb det verb part det verb verb part,6
nga rakau rau tangata,g002 g017 g031 g016,4,4,det noun noun noun,7
mai te Hotu mo te noho,g097 g009 g090 g096 g001 g052,6,6,part det name part det verb,8
te muri i haere inu ha te haere makemake i,g003 g020 g097 g053 g053 g053 g078 g001 g056 g051 g051 g096,10,12,det noun part verb verb num det verb verb part,9
te rau a tamaiti rakau ika tae,g001 g032 g001 g033 g024 g016 g051,7,7,det noun det noun noun noun verb,10
te marama manu,g001 g023 g023 g019 g019,3,5,det noun noun,11
haere Tiki korero o e,g051 g081 g051 g006 g009,5,5,verb name verb det det,12
na o hitu tangata na,g096 g009 g076 g016 g100 g100,5,6,part det num noun part,13
ma maunga te Hotu vaka haere,g019 g047 g001 g001 g083 g017 g057 g057,6,8,noun noun det name noun verb,14
te i ala rima tahi haere vahine he haere,g001 g097 g065 g073 g077 g054 g016 g003 g051,9,9,det part verb num num verb noun det verb,15
puke tangata haere korero te,g051 g047 g054 g057 g002,5,5,verb noun verb verb det,16
noho te Rangi Matua te,g051 g008 g082 g087 g004,5,5,verb det name name det,17
tangata ki vai te i rima Hotu Hotu vahine Hotu tangata,g017 g096 g018 g001 g101 g017 g086 g092 g016 g089 g019,11,11,noun part noun det part noun name name noun name noun,18
