sent_id,source_lang,source_text,target_glyphs,source_len,target_len
1,haw,e hele mai au,g014 g058 g097 g016,4,4
2,haw,he kumu o ia,g002 g016 g013 g039 g039,4,5
3,haw,ulaula ka pua liilii,g017 g015 g029 g029 g106,4,5
4,haw,aole au akamai,g029 g029 g047 g108,3,4
5,haw,minoaka ke kanaka,g016 g019 g054,3,3
6,haw,elua ou kaikunāne,g023 g024 g107,3,3
7,haw,keokeo ka pua nui,g052 g001 g016 g016 g016,4,5
8,haw,keokeo ka pua liilii,g016 g001 g016 g052,4,4
9,haw,polū ka pua nui,g057 g010 g020 g020 g016,4,5
10,haw,ke kālai nei ke keiki,g017 g018 g018 g033 g016 g055 g055,5,7
11,haw,maka kēia kūlina,g016 g019 g051,3,3
12,haw,lena ka pua liilii,g016 g007 g032 g032 g051 g051,4,6
13,haw,aloha o wikoli kou inoa,g057 g001 g017 g017 g018 g062,5,6
14,haw,nui kēia īlio,g027 g051 g056,3,3
15,haw,hāawi ke alii i ka ipukukui i ke kanaka,g018 g016 g051 g051 g096 g006 g106 g106 g096 g096 g016 g053,9,12
16,haw,keokeo ka pūpū liilii,g117 g117 g003 g054 g016,4,5
17,haw,he hapa au,g001 g022 g022 g017,3,4
18,haw,he pōpoki au,g002 g002 g065 g041,3,4
19,haw,he haumāna maikai o ia,g001 g001 g053 g053 g001 g017,5,6
20,haw,poni ka pua liilii,g051 g015 g029 g108 g108,4,5
21,haw,aole ōmaomao ka āpala,g034 g051 g010 g057,4,4
22,haw,ua hīmeni o pua i ka halepule,g023 g114 g114 g003 g016 g016 g103 g001 g109,7,9
23,haw,melemele ka pua nui,g056 g003 g003 g016 g016 g042,4,6
24,haw,hāawi ke alii i ka makana i ke kanaka,g053 g018 g051 g096 g012 g068 g096 g017 g056,9,9
25,haw,aole au i lawe i ka puke a koma,g028 g016 g097 g016 g103 g103 g007 g018 g005 g025,9,10
26,haw,keokeo kēia īlio,g113 g034 g051,3,3
27,haw,loa kou makua kāne,g016 g027 g017 g019 g019,4,5
28,haw,uē ke kanaka,g034 g016 g016 g020,3,4
29,haw,hīmeni o pua,g017 g007 g007 g018,3,4
30,haw,e hele e kaiulani,g001 g051 g002 g108,4,4
31,haw,aloha e kaiulani,g016 g002 g042,3,3
32,haw,akaaka ke kanaka,g016 g037 g019,3,3
33,haw,hāawi ke akua i he pūpū i ke kanaka,g020 g016 g055 g097 g006 g051 g098 g017 g031,9,9
34,haw,o kou makuahine kēia,g013 g025 g022 g022 g051,4,5
35,haw,i maui hāawi ke alii i ka ipukukui i ke kanaka,g096 g017 g029 g016 g016 g051 g105 g004 g058 g097 g035 g108,11,12
36,haw,he manu o ia,g005 g005 g053 g053 g003 g038,4,6
37,haw,aole au he kauka,g054 g017 g006 g018,4,4
38,haw,he wahine maikai o ia,g002 g106 g033 g002 g026,5,5
39,haw,he kaikamahine au,g002 g024 g016 g016,3,4
40,haw,aloha kakahiaka,g016 g107,2,2
41,haw,he noho o ia,g002 g052 g002 g016,4,4
42,haw,liilii ka penikala,g051 g010 g054,3,3
43,haw,i hele au ma ka panakō,g097 g063 g031 g097 g006 g112,6,6
44,haw,ua hāawi ke alii i ka ipukukui i ke kanaka,g028 g057 g031 g065 g105 g003 g064 g098 g022 g016,10,10
45,haw,aole oe he wahine,g018 g018 g031 g002 g026 g026,4,6
46,haw,hana nā kaikamahine,g067 g016 g016,3,3
47,haw,ua noho ke kanaka i kīlauea,g016 g053 g016 g118 g097 g051,6,6
48,haw,ke ai nei ke kanaka nui i ka niu liilii,g017 g054 g040 g020 g064 g017 g104 g001 g001 g020 g113,10,11
49,haw,aole au pōloli,g051 g022 g016,3,3
50,haw,he kanaka au,g002 g063 g018,3,3
51,haw,e kū kēia hale,g004 g021 g065 g058,4,4
52,haw,ke hīmeni nei o pua,g016 g041 g017 g002 g026,5,5
53,haw,e akaaka,g002 g017,2,2
54,haw,he haumāna o ia,g004 g035 g003 g019,4,4
55,haw,kauka lāua,g016 g053,2,2
56,haw,hāawi ke akua i ka pua i ke kanaka,g016 g017 g052 g096 g004 g017 g098 g017 g120,9,9
57,haw,he wahine au,g005 g016 g025,3,3
58,haw,hāawi ke alii i ka pua i ke kanaka,g020 g020 g047 g031 g096 g002 g017 g017 g099 g099 g016 g051,9,12
59,haw,uliuli ka pua liilii,g017 g017 g014 g014 g016 g061,4,6
60,haw,loloa ke kanaka,g056 g016 g016 g029,3,4
61,haw,makemake au e hele i aukekulelia me kou ohana,g054 g018 g004 g004 g054 g100 g100 g107 g037 g017 g020 g020,9,12
62,haw,o au ke kumu,g001 g019 g016 g016 g052,4,5
63,haw,ua noho ke kanaka i honolulu,g017 g061 g016 g106 g106 g096 g028 g028,6,8
64,haw,aole au makemake e hele i ke kula,g051 g016 g051 g007 g054 g101 g039 g052,8,8
65,haw,hāawi ke alii i ka poi i ke kanaka,g057 g021 g051 g096 g005 g033 g098 g016 g026,9,9
66,haw,e hīmeni ana o pua i ka halepule,g008 g119 g018 g002 g017 g017 g096 g096 g001 g107 g107,8,11
67,haw,nani ke kaikamahine,g058 g058 g033 g113,3,4
68,haw,āhinahina ka pua nui,g051 g003 g003 g021 g019 g019,4,6
69,haw,o kou makuakāne kēia,g001 g035 g053 g016,4,4
70,haw,ua hāawi ke alii i ka makana i ke kanaka,g016 g052 g016 g061 g096 g013 g013 g109 g096 g040 g106 g106,10,12
71,haw,aloha ahiahi,g016 g112,2,2
72,haw,makemake au e ao i ka ōlelo hawaii,g059 g016 g001 g025 g101 g003 g055 g062,8,8
