doc_id,line_id,position,token,raw_token,orientation,source,notes
synthetic,1,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,1,NOUN,p06,p06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,1,CONJ,n13,n13,normal,synthetic_candidate_transformed,true_pos=CONJ
synthetic,1,DET,v07,v07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,1,ADJ,d06,d06,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,1,NOUN,v14,v14,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,1,VERB,q03,q03,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,1,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,1,NOUN,n22,n22,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,2,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,2,NOUN,p05,p05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,2,VERB,x01,x01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,2,ADV,n12,n12,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,2,DET,v07,v07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,2,NOUN,n05,n05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,3,PRON,n24,n24,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,3,VERB,d03,d03,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,3,DET,v07,v07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,3,NOUN,n25,n25,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,3,DET,d07,d07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,3,NUM,r06,r06,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,3,NOUN,x02,x02,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,DET,n09,n09,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,NOUN,m01,m01,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,VERB,x01,x01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,4,DET,v15,v15,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,ADJ,w01,w01,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,4,NOUN,v06,v06,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,PREP,d05,d05,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,4,DET,n09,n09,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,NUM,r06,r06,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,4,NOUN,a08,a08,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,4,PREP,d05,d05,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,4,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,4,QUANT,m06,m06,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,4,NOUN,n11,n11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,5,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,5,NOUN,a03,a03,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,5,VERB,n04,n04,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,5,PRON,v04,v04,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,5,ADV,n12,n12,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,6,DET,x04,x04,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,6,NOUN,n02,n02,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,6,VERB,q03,q03,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,6,PRON,a10,a10,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,6,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,6,QUANT,n16,n16,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,6,NOUN,n23,n23,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,DET,n19,n19,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,NUM,m03,m03,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,7,NOUN,a08,a08,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,CONJ,c01,c01,normal,synthetic_candidate_transformed,true_pos=CONJ
synthetic,7,DET,r07,r07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,ADJ,a01,a01,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,7,NOUN,n05,n05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,VERB,d01,d01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,7,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,NOUN,v11,v11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,7,PREP,x07,x07,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,7,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,7,NOUN,n11,n11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,8,DET,n09,n09,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,8,NUM,n02,n02,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,8,NOUN,n29,n29,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,8,VERB,n04,n04,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,8,ADV,c04,c04,normal,synthetic_candidate_transformed,true_pos=ADV
synthetic,9,PRON,r04,r04,normal,synthetic_candidate_transformed,true_pos=PRON
synthetic,9,VERB,n04,n04,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,9,DET,v07,v07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,9,NUM,v14,v14,normal,synthetic_candidate_transformed,true_pos=NUM
synthetic,9,NOUN,m05,m05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,9,PREP,n19,n19,normal,synthetic_candidate_transformed,true_pos=PREP
synthetic,9,NAME,v02,v02,normal,synthetic_candidate_transformed,true_pos=NAME
synthetic,9,DET,v15,v15,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,9,QUANT,v10,v10,normal,synthetic_candidate_transformed,true_pos=QUANT
synthetic,9,NOUN,a09,a09,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,10,DET,x04,x04,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,10,ADJ,n24,n24,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,10,NOUN,m05,m05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,10,VERB,d03,d03,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,11,DET,v07,v07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,11,NOUN,m04,m04,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,11,VERB,d04,d04,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,11,DET,r07,r07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,11,NOUN,n05,n05,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,12,DET,r07,r07,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,12,ADJ,a07,a07,normal,synthetic_candidate_transformed,true_pos=ADJ
synthetic,12,NOUN,n11,n11,normal,synthetic_candidate_transformed,true_pos=NOUN
synthetic,12,VERB,m01,m01,normal,synthetic_candidate_transformed,true_pos=VERB
synthetic,12,DET,v03,v03,normal,synthetic_candidate_transformed,true_pos=DET
synthetic,12,NOUN,a08,a08,normal,synthetic_candidate_transformed,true_pos=NOUN
