doc_id,line_id,position,token,raw_token,orientation,source,notes
synthetic,1,1,s01,s01,normal,synthetic_generator,
synthetic,1,2,s10,s10,normal,synthetic_generator,
synthetic,1,3,s22,s22,normal,synthetic_generator,
synthetic,1,4,s40,s40,normal,synthetic_generator,
synthetic,1,5,s01,s01,normal,synthetic_generator,
synthetic,1,6,s11,s11,normal,synthetic_generator,
synthetic,1,7,s20,s20,normal,synthetic_generator,
synthetic,1,8,s03,s03,normal,synthetic_generator,
synthetic,1,9,s15,s15,normal,synthetic_generator,
synthetic,2,1,s01,s01,normal,synthetic_generator,
synthetic,2,2,s14,s14,normal,synthetic_generator,
synthetic,2,3,s23,s23,normal,synthetic_generator,
synthetic,2,4,s40,s40,normal,synthetic_generator,
synthetic,2,5,s01,s01,normal,synthetic_generator,
synthetic,2,6,s10,s10,normal,synthetic_generator,
synthetic,2,7,s21,s21,normal,synthetic_generator,
synthetic,2,8,s01,s01,normal,synthetic_generator,
synthetic,2,9,s14,s14,normal,synthetic_generator,
synthetic,3,1,s01,s01,normal,synthetic_generator,
synthetic,3,2,s14,s14,normal,synthetic_generator,
synthetic,3,3,s21,s21,normal,synthetic_generator,
synthetic,3,4,s40,s40,normal,synthetic_generator,
synthetic,3,5,s01,s01,normal,synthetic_generator,
synthetic,3,6,s13,s13,normal,synthetic_generator,
synthetic,3,7,s22,s22,normal,synthetic_generator,
synthetic,3,8,s01,s01,normal,synthetic_generator,
synthetic,3,9,s11,s11,normal,synthetic_generator,
synthetic,4,1,s02,s02,normal,synthetic_generator,
synthetic,4,2,s12,s12,normal,synthetic_generator,
synthetic,4,3,s22,s22,normal,synthetic_generator,
synthetic,4,4,s40,s40,normal,synthetic_generator,
synthetic,4,5,s01,s01,normal,synthetic_generator,
synthetic,4,6,s12,s12,normal,synthetic_generator,
synthetic,4,7,s20,s20,normal,synthetic_generator,
synthetic,4,8,s01,s01,normal,synthetic_generator,
synthetic,4,9,s13,s13,normal,synthetic_generator,
synthetic,5,1,s02,s02,normal,synthetic_generator,
synthetic,5,2,s12,s12,normal,synthetic_generator,
synthetic,5,3,s22,s22,normal,synthetic_generator,
synthetic,5,4,s01,s01,normal,synthetic_generator,
synthetic,5,5,s15,s15,normal,synthetic_generator,
synthetic,6,1,s03,s03,normal,synthetic_generator,
synthetic,6,2,s10,s10,normal,synthetic_generator,
synthetic,6,3,s23,s23,normal,synthetic_generator,
synthetic,6,4,s30,s30,normal,synthetic_generator,
synthetic,6,5,s03,s03,normal,synthetic_generator,
synthetic,6,6,s12,s12,normal,synthetic_generator,
synthetic,7,1,s03,s03,normal,synthetic_generator,
synthetic,7,2,s12,s12,normal,synthetic_generator,
