doc_id,line_id,position,token,raw_token,orientation,source,notes
tablet_001,1,1,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,1,2,g001,g001,normal,synthetic_rongorongo_v2,
tablet_001,1,3,g038,g038,normal,synthetic_rongorongo_v2,
tablet_001,1,4,g076,g076,normal,synthetic_rongorongo_v2,
tablet_001,1,5,g035,g035,normal,synthetic_rongorongo_v2,
tablet_001,1,6,g035,g035,normal,synthetic_rongorongo_v2,
tablet_001,1,7,g035,g035,normal,synthetic_rongorongo_v2,
tablet_001,1,8,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,1,9,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,1,10,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,1,11,g018,g018,normal,synthetic_rongorongo_v2,
tablet_001,1,12,g026,g026,normal,synthetic_rongorongo_v2,
tablet_001,1,13,g026,g026,normal,synthetic_rongorongo_v2,
tablet_001,1,14,g058,g058,normal,synthetic_rongorongo_v2,
tablet_001,1,15,g014,g014,normal,synthetic_rongorongo_v2,
tablet_001,1,16,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,2,1,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,2,2,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,2,3,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,2,4,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,2,5,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,2,6,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,2,7,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,2,8,g034,g034,normal,synthetic_rongorongo_v2,
tablet_001,2,9,g083,g083,normal,synthetic_rongorongo_v2,
tablet_001,2,10,g084,g084,normal,synthetic_rongorongo_v2,
tablet_001,2,11,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,2,12,g012,g012,normal,synthetic_rongorongo_v2,
tablet_001,2,13,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,2,14,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,2,15,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,3,1,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,3,2,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,3,3,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,3,4,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,3,5,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,3,6,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,3,7,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,3,8,g111,g111,normal,synthetic_rongorongo_v2,
tablet_001,3,9,g104,g104,normal,synthetic_rongorongo_v2,
tablet_001,3,10,g048,g048,normal,synthetic_rongorongo_v2,
tablet_001,3,11,g020,g020,normal,synthetic_rongorongo_v2,
tablet_001,3,12,g020,g020,normal,synthetic_rongorongo_v2,
tablet_001,3,13,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,3,14,g045,g045,normal,synthetic_rongorongo_v2,
tablet_001,3,15,g045,g045,normal,synthetic_rongorongo_v2,
tablet_001,3,16,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,3,17,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,4,1,g029,g029,normal,synthetic_rongorongo_v2,
tablet_001,4,2,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,4,3,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,4,4,g025,g025,normal,synthetic_rongorongo_v2,
tablet_001,4,5,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,4,6,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,4,7,g026,g026,normal,synthetic_rongorongo_v2,
tablet_001,4,8,g097,g097,normal,synthetic_rongorongo_v2,
tablet_001,4,9,g117,g117,normal,synthetic_rongorongo_v2,
tablet_001,4,10,g117,g117,normal,synthetic_rongorongo_v2,
tablet_001,4,11,g036,g036,normal,synthetic_rongorongo_v2,
tablet_001,4,12,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,4,13,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,4,14,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,5,1,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,5,2,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,5,3,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,5,4,g023,g023,normal,synthetic_rongorongo_v2,
tablet_001,5,5,g023,g023,normal,synthetic_rongorongo_v2,
tablet_001,5,6,g116,g116,normal,synthetic_rongorongo_v2,
tablet_001,5,7,g042,g042,normal,synthetic_rongorongo_v2,
tablet_001,5,8,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,5,9,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,5,10,g017,g017,normal,synthetic_rongorongo_v2,
tablet_001,5,11,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,5,12,g038,g038,normal,synthetic_rongorongo_v2,
tablet_001,5,13,g038,g038,normal,synthetic_rongorongo_v2,
tablet_001,5,14,g052,g052,normal,synthetic_rongorongo_v2,
tablet_001,5,15,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,5,16,g018,g018,normal,synthetic_rongorongo_v2,
tablet_001,5,17,g018,g018,normal,synthetic_rongorongo_v2,
tablet_001,5,18,g018,g018,normal,synthetic_rongorongo_v2,
tablet_001,6,1,g001,g001,normal,synthetic_rongorongo_v2,
tablet_001,6,2,g013,g013,normal,synthetic_rongorongo_v2,
tablet_001,6,3,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,6,4,g024,g024,normal,synthetic_rongorongo_v2,
tablet_001,6,5,g013,g013,normal,synthetic_rongorongo_v2,
tablet_001,6,6,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,6,7,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,6,8,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,6,9,g052,g052,normal,synthetic_rongorongo_v2,
tablet_001,6,10,g087,g087,normal,synthetic_rongorongo_v2,
tablet_001,6,11,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,6,12,g031,g031,normal,synthetic_rongorongo_v2,
tablet_001,6,13,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,6,14,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,6,15,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,7,1,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,7,2,g029,g029,normal,synthetic_rongorongo_v2,
tablet_001,7,3,g012,g012,normal,synthetic_rongorongo_v2,
tablet_001,7,4,g025,g025,normal,synthetic_rongorongo_v2,
tablet_001,7,5,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,7,6,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,7,7,g044,g044,normal,synthetic_rongorongo_v2,
tablet_001,7,8,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,7,9,g071,g071,normal,synthetic_rongorongo_v2,
tablet_001,7,10,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,7,11,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,7,12,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,7,13,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,7,14,g060,g060,normal,synthetic_rongorongo_v2,
tablet_001,8,1,g001,g001,normal,synthetic_rongorongo_v2,
tablet_001,8,2,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,8,3,g038,g038,normal,synthetic_rongorongo_v2,
tablet_001,8,4,g048,g048,normal,synthetic_rongorongo_v2,
tablet_001,8,5,g048,g048,normal,synthetic_rongorongo_v2,
tablet_001,8,6,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,8,7,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,8,8,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,8,9,g052,g052,normal,synthetic_rongorongo_v2,
tablet_001,8,10,g093,g093,normal,synthetic_rongorongo_v2,
tablet_001,8,11,g093,g093,normal,synthetic_rongorongo_v2,
tablet_001,8,12,g037,g037,normal,synthetic_rongorongo_v2,
tablet_001,8,13,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,8,14,g011,g011,normal,synthetic_rongorongo_v2,
tablet_001,9,1,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,9,2,g025,g025,normal,synthetic_rongorongo_v2,
tablet_001,9,3,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,9,4,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,9,5,g043,g043,normal,synthetic_rongorongo_v2,
tablet_001,9,6,g017,g017,normal,synthetic_rongorongo_v2,
tablet_001,9,7,g046,g046,normal,synthetic_rongorongo_v2,
tablet_001,9,8,g018,g018,normal,synthetic_rongorongo_v2,
tablet_001,9,9,g082,g082,normal,synthetic_rongorongo_v2,
tablet_001,9,10,g001,g001,normal,synthetic_rongorongo_v2,
tablet_001,9,11,g028,g028,normal,synthetic_rongorongo_v2,
tablet_001,9,12,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,9,13,g032,g032,normal,synthetic_rongorongo_v2,
tablet_001,10,1,g058,g058,normal,synthetic_rongorongo_v2,
tablet_001,10,2,g014,g014,normal,synthetic_rongorongo_v2,
tablet_001,10,3,g034,g034,normal,synthetic_rongorongo_v2,
tablet_001,10,4,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,10,5,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,10,6,g080,g080,normal,synthetic_rongorongo_v2,
tablet_001,10,7,g080,g080,normal,synthetic_rongorongo_v2,
tablet_001,10,8,g001,g001,normal,synthetic_rongorongo_v2,
tablet_001,10,9,g056,g056,normal,synthetic_rongorongo_v2,
tablet_001,10,10,g013,g013,normal,synthetic_rongorongo_v2,
tablet_001,10,11,g040,g040,normal,synthetic_rongorongo_v2,
tablet_001,10,12,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,10,13,g060,g060,normal,synthetic_rongorongo_v2,
tablet_001,10,14,g006,g006,normal,synthetic_rongorongo_v2,
tablet_001,11,1,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,11,2,g014,g014,normal,synthetic_rongorongo_v2,
tablet_001,11,3,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,11,4,g033,g033,normal,synthetic_rongorongo_v2,
tablet_001,11,5,g106,g106,normal,synthetic_rongorongo_v2,
tablet_001,11,6,g105,g105,normal,synthetic_rongorongo_v2,
tablet_001,11,7,g045,g045,normal,synthetic_rongorongo_v2,
tablet_001,11,8,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,11,9,g013,g013,normal,synthetic_rongorongo_v2,
tablet_001,11,10,g036,g036,normal,synthetic_rongorongo_v2,
tablet_001,11,11,g030,g030,normal,synthetic_rongorongo_v2,
tablet_001,11,12,g021,g021,normal,synthetic_rongorongo_v2,
tablet_001,12,1,g045,g045,normal,synthetic_rongorongo_v2,
tablet_001,12,2,g035,g035,normal,synthetic_rongorongo_v2,
tablet_001,12,3,g030,g030,normal,synthetic_rongorongo_v2,
tablet_001,12,4,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,12,5,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,12,6,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,12,7,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,12,8,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,12,9,g118,g118,normal,synthetic_rongorongo_v2,
tablet_001,12,10,g081,g081,normal,synthetic_rongorongo_v2,
tablet_001,12,11,g042,g042,normal,synthetic_rongorongo_v2,
tablet_001,12,12,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,12,13,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,12,14,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,13,1,g006,g006,normal,synthetic_rongorongo_v2,
tablet_001,13,2,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,13,3,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,13,4,g060,g060,normal,synthetic_rongorongo_v2,
tablet_001,13,5,g060,g060,normal,synthetic_rongorongo_v2,
tablet_001,13,6,g095,g095,normal,synthetic_rongorongo_v2,
tablet_001,13,7,g095,g095,normal,synthetic_rongorongo_v2,
tablet_001,13,8,g095,g095,normal,synthetic_rongorongo_v2,
tablet_001,13,9,g062,g062,normal,synthetic_rongorongo_v2,
tablet_001,13,10,g046,g046,normal,synthetic_rongorongo_v2,
tablet_001,13,11,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,13,12,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,13,13,g022,g022,normal,synthetic_rongorongo_v2,
tablet_001,13,14,g026,g026,normal,synthetic_rongorongo_v2,
tablet_001,13,15,g048,g048,normal,synthetic_rongorongo_v2,
tablet_001,14,1,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,14,2,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,14,3,g057,g057,normal,synthetic_rongorongo_v2,
tablet_001,14,4,g028,g028,normal,synthetic_rongorongo_v2,
tablet_001,14,5,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,14,6,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,14,7,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,14,8,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,14,9,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,14,10,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,14,11,g030,g030,normal,synthetic_rongorongo_v2,
tablet_001,14,12,g100,g100,normal,synthetic_rongorongo_v2,
tablet_001,14,13,g022,g022,normal,synthetic_rongorongo_v2,
tablet_001,14,14,g022,g022,normal,synthetic_rongorongo_v2,
tablet_001,14,15,g022,g022,normal,synthetic_rongorongo_v2,
tablet_001,14,16,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,14,17,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,15,1,g011,g011,normal,synthetic_rongorongo_v2,
tablet_001,15,2,g022,g022,normal,synthetic_rongorongo_v2,
tablet_001,15,3,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,15,4,g041,g041,normal,synthetic_rongorongo_v2,
tablet_001,15,5,g041,g041,normal,synthetic_rongorongo_v2,
tablet_001,15,6,g006,g006,normal,synthetic_rongorongo_v2,
tablet_001,15,7,g052,g052,normal,synthetic_rongorongo_v2,
tablet_001,15,8,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,15,9,g083,g083,normal,synthetic_rongorongo_v2,
tablet_001,15,10,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,15,11,g042,g042,normal,synthetic_rongorongo_v2,
tablet_001,15,12,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,15,13,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,15,14,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,15,15,g059,g059,normal,synthetic_rongorongo_v2,
tablet_001,16,1,g012,g012,normal,synthetic_rongorongo_v2,
tablet_001,16,2,g017,g017,normal,synthetic_rongorongo_v2,
tablet_001,16,3,g056,g056,normal,synthetic_rongorongo_v2,
tablet_001,16,4,g051,g051,normal,synthetic_rongorongo_v2,
tablet_001,16,5,g012,g012,normal,synthetic_rongorongo_v2,
tablet_001,16,6,g012,g012,normal,synthetic_rongorongo_v2,
tablet_001,16,7,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,16,8,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,16,9,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,16,10,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,16,11,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,16,12,g036,g036,normal,synthetic_rongorongo_v2,
tablet_001,16,13,g105,g105,normal,synthetic_rongorongo_v2,
tablet_001,16,14,g046,g046,normal,synthetic_rongorongo_v2,
tablet_001,16,15,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,16,16,g010,g010,normal,synthetic_rongorongo_v2,
tablet_001,17,1,g004,g004,normal,synthetic_rongorongo_v2,
tablet_001,17,2,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,17,3,g013,g013,normal,synthetic_rongorongo_v2,
tablet_001,17,4,g052,g052,normal,synthetic_rongorongo_v2,
tablet_001,17,5,g065,g065,normal,synthetic_rongorongo_v2,
tablet_001,17,6,g097,g097,normal,synthetic_rongorongo_v2,
tablet_001,17,7,g024,g024,normal,synthetic_rongorongo_v2,
tablet_001,17,8,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,17,9,g005,g005,normal,synthetic_rongorongo_v2,
tablet_001,17,10,g057,g057,normal,synthetic_rongorongo_v2,
tablet_001,17,11,g040,g040,normal,synthetic_rongorongo_v2,
tablet_001,17,12,g040,g040,normal,synthetic_rongorongo_v2,
tablet_001,17,13,g026,g026,normal,synthetic_rongorongo_v2,
tablet_001,17,14,g026,g026,normal,synthetic_rongorongo_v2,
tablet_001,18,1,g035,g035,normal,synthetic_rongorongo_v2,
tablet_001,18,2,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,18,3,g055,g055,normal,synthetic_rongorongo_v2,
tablet_001,18,4,g028,g028,normal,synthetic_rongorongo_v2,
tablet_001,18,5,g014,g014,normal,synthetic_rongorongo_v2,
tablet_001,18,6,g007,g007,normal,synthetic_rongorongo_v2,
tablet_001,18,7,g058,g058,normal,synthetic_rongorongo_v2,
tablet_001,18,8,g058,g058,normal,synthetic_rongorongo_v2,
tablet_001,18,9,g058,g058,normal,synthetic_rongorongo_v2,
tablet_001,18,10,g111,g111,normal,synthetic_rongorongo_v2,
tablet_001,18,11,g111,g111,normal,synthetic_rongorongo_v2,
tablet_001,18,12,g111,g111,normal,synthetic_rongorongo_v2,
tablet_001,18,13,g037,g037,normal,synthetic_rongorongo_v2,
tablet_001,18,14,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,18,15,g003,g003,normal,synthetic_rongorongo_v2,
tablet_001,18,16,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,19,1,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,19,2,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,19,3,g022,g022,normal,synthetic_rongorongo_v2,
tablet_001,19,4,g109,g109,normal,synthetic_rongorongo_v2,
tablet_001,19,5,g038,g038,normal,synthetic_rongorongo_v2,
tablet_001,19,6,g019,g019,normal,synthetic_rongorongo_v2,
tablet_001,19,7,g002,g002,normal,synthetic_rongorongo_v2,
tablet_001,19,8,g006,g006,normal,synthetic_rongorongo_v2,
tablet_001,19,9,g006,g006,normal,synthetic_rongorongo_v2,
tablet_001,19,10,g051,g051,normal,synthetic_rongorongo_v2,
tablet_001,19,11,g054,g054,normal,synthetic_rongorongo_v2,
tablet_001,19,12,g015,g015,normal,synthetic_rongorongo_v2,
tablet_001,19,13,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,20,1,g033,g033,normal,synthetic_rongorongo_v2,
tablet_001,20,2,g013,g013,normal,synthetic_rongorongo_v2,
tablet_001,20,3,g030,g030,normal,synthetic_rongorongo_v2,
tablet_001,20,4,g018,g018,normal,synthetic_rongorongo_v2,
tablet_001,20,5,g090,g090,normal,synthetic_rongorongo_v2,
tablet_001,20,6,g008,g008,normal,synthetic_rongorongo_v2,
tablet_001,20,7,g051,g051,normal,synthetic_rongorongo_v2,
tablet_001,20,8,g016,g016,normal,synthetic_rongorongo_v2,
tablet_001,20,9,g047,g047,normal,synthetic_rongorongo_v2,
tablet_001,20,10,g009,g009,normal,synthetic_rongorongo_v2,
tablet_001,20,11,g053,g053,normal,synthetic_rongorongo_v2,
tablet_001,20,12,g010,g010,normal,synthetic_rongorongo_v2,
