source_text,target_glyphs,source_len,target_len,categories,pair_id
te tangata haere atu tau vai ma noho noho haere ihu matangi te,g012 g019 g051 g051 g098 g010 g018 g018 g097 g051 g054 g051 g019 g019 g007,13,15,det noun verb part det noun part verb verb verb noun noun det,1
Matua ai te vahine,g084 g053 g010 g018,4,4,name verb det noun,2
atu Tuu ora iva ua i te,g096 g082 g051 g076 g017 g101 g006,7,7,part name verb num noun part det,3
Papa haere te maa mai he mai noho haere tau hue maa,g092 g092 g064 g001 g017 g096 g096 g001 g096 g051 g070 g001 g018 g016,12,14,name verb det noun part det part verb verb det noun noun,4
ki te vahine,g096 g003 g016,3,3,part det noun,5
tana matangi ora rima vahine ma vahine hoki noho te haere i tau inu,g015 g015 g044 g058 g058 g071 g071 g022 g096 g016 g063 g052 g002 g051 g099 g001 g001 g069,14,18,det noun verb num noun part noun verb verb det verb part det verb,6
Hotu hele te,g081 g052 g005,3,3,name verb det,7
Tane Ana hana te tamaiti i ki tangata vahine inu,g081 g081 g056 g005 g046 g103 g096 g029 g029 g042 g020,10,11,name name verb det noun part part noun noun noun,8
te tua haere mai tau vahine inu tamaiti uri haere na,g001 g020 g051 g102 g102 g003 g016 g052 g020 g016 g055 g001,11,12,det noun verb part det noun verb noun noun verb det,9
te manu mate tahi manu i ki raro hana i vahine tangata haere,g012 g016 g061 g075 g075 g016 g016 g096 g097 g019 g051 g097 g016 g027 g062 g062,13,16,det noun verb num noun part part noun verb part noun noun verb,10
teia tangata tangi i Riri pe ka hula haere korero haere,g004 g029 g055 g098 g081 g081 g096 g003 g051 g052 g052 g053 g053,11,13,det noun verb part name part det verb verb verb verb,11
te ika haere no he kai i,g011 g016 g016 g060 g096 g002 g016 g098,7,8,det noun verb part det noun part,12
he tangata haere ki taku maa na manu i mai te i,g014 g018 g068 g104 g001 g017 g017 g096 g016 g098 g100 g002 g002 g096,12,14,det noun verb part det noun part noun part part det part,13
Maui inu na vahine,g082 g051 g011 g018,4,4,name verb det noun,14
tau vai kai va ika nei marama noho tangata te moe a mai tau,g001 g028 g051 g078 g016 g099 g099 g016 g053 g017 g002 g051 g001 g001 g001 g101 g002,14,17,det noun verb num noun part noun verb noun det verb det part det,15
te tamaiti noho ha motu mo hana tana huti,g003 g022 g053 g053 g075 g017 g102 g051 g006 g070,9,10,det noun verb num noun part verb det verb,16
