doc_id,line_id,position,token,features,description,source
M-1A,1,1,P121,"[0, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-1A,1,2,P202,"[0, 1, 0, 0, 3]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-1A,1,3,P385,"[0, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-1A,1,4,P073,"[0, 1, 0, 2, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-1A,1,5,P108,"[0, 1, 0, 0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-3A,2,1,P320,"[0, 1, 0, 3]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-3A,2,2,P145,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-3A,2,3,P094,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,1,P205,"[1410, 1, 10, 3, 4, 0, 2, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,2,P186,"[0, 1, 10, 0, 0, 0, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,3,P147,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,4,P316,"[0, 1, 0, 1, 1, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,5,P056,"[0, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,6,P122,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,7,P237,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,8,P268,"[0, 1, 0, 2, 4]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,9,P268,"[0, 1, 0, 2, 4]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-4A,3,10,P147,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-5A,4,1,P324,"[80, 1, 50, 2, 0, 2, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-5A,4,2,P096,"[20, 1, 10, 5, 3, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-5A,4,3,P062,"[10, 1, 0, 2, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-5A,4,4,P060,"[10, 1, 20]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-5A,4,5,P120,"[0, 1, 0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-5A,4,6,P256,"[10, 1, 10, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-6A,5,1,P378,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-6A,5,2,P384,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-6A,5,3,P201,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-6A,5,4,P065,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,1,P086,"[0, 1, 0, 2, 4, 2, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,2,P352,"[0, 1, 0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,3,P011,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,4,P324,"[0, 1, 0, 0, 0, 1, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,5,P154,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,6,P009,"[0, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,7,P154,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,8,P175,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,9,P062,"[0, 1, 0, 2, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,10,P122,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-7A,6,11,P385,"[0, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
