tablet_id,line_id,position,glyph,category,boustrophedon_dir
T0001,1,1,g001,det,ltr
T0001,1,2,g001,det,ltr
T0001,1,3,g016,noun,ltr
T0001,1,4,g057,verb,ltr
T0001,1,5,g106,rare,ltr
T0001,1,6,g023,noun,ltr
T0001,1,7,g102,part,ltr
T0001,2,1,g100,part,rtl
T0001,2,2,g062,verb,rtl
T0001,2,3,g016,noun,rtl
T0001,2,4,g002,det,rtl
T0001,3,1,g002,det,ltr
T0001,3,2,g002,det,ltr
T0001,3,3,g082,name,ltr
T0001,3,4,g052,verb,ltr
T0001,3,5,g052,verb,ltr
T0001,3,6,g016,noun,ltr
T0001,3,7,g071,num,ltr
T0001,4,1,g080,num,rtl
T0001,4,2,g100,part,rtl
T0001,4,3,g100,part,rtl
T0001,4,4,g022,noun,rtl
T0001,4,5,g051,verb,rtl
T0001,4,6,g016,noun,rtl
T0001,4,7,g002,det,rtl
T0002,1,1,g085,name,ltr
T0002,1,2,g051,verb,ltr
T0002,1,3,g098,part,ltr
T0002,2,1,g076,num,rtl
T0002,2,2,g101,part,rtl
T0002,2,3,g016,noun,rtl
T0002,2,4,g027,noun,rtl
T0002,2,5,g052,verb,rtl
T0002,2,6,g081,name,rtl
T0002,2,7,g005,det,rtl
T0002,2,8,g005,det,rtl
T0002,3,1,g001,det,ltr
T0002,3,2,g016,noun,ltr
T0002,3,3,g057,verb,ltr
T0002,4,1,g100,part,rtl
T0002,4,2,g053,verb,rtl
T0002,4,3,g016,noun,rtl
T0002,4,4,g016,noun,rtl
T0002,4,5,g015,det,rtl
T0002,4,6,g015,det,rtl
T0002,5,1,g004,det,ltr
T0002,5,2,g018,noun,ltr
T0002,5,3,g018,noun,ltr
T0002,5,4,g051,verb,ltr
T0002,5,5,g098,part,ltr
T0002,6,1,g096,rare,rtl
T0002,6,2,g119,noun,rtl
T0002,6,3,g119,noun,rtl
T0002,6,4,g017,noun,rtl
T0002,6,5,g017,noun,rtl
T0002,7,1,g003,det,ltr
T0002,7,2,g016,noun,ltr
T0002,7,3,g052,verb,ltr
T0002,7,4,g052,verb,ltr
T0002,7,5,g016,noun,ltr
T0002,7,6,g104,part,ltr
T0002,7,7,g078,num,ltr
T0003,1,1,g010,det,ltr
T0003,1,2,g042,noun,ltr
T0003,1,3,g042,noun,ltr
T0003,1,4,g051,verb,ltr
T0003,1,5,g018,noun,ltr
T0003,1,6,g096,part,ltr
T0003,2,1,g071,num,rtl
T0003,2,2,g096,part,rtl
T0003,2,3,g025,noun,rtl
T0003,2,4,g025,noun,rtl
T0003,2,5,g053,verb,rtl
T0003,2,6,g016,noun,rtl
T0003,2,7,g002,det,rtl
T0003,3,1,g001,det,ltr
T0003,3,2,g016,noun,ltr
T0003,3,3,g051,verb,ltr
T0003,4,1,g103,rare,rtl
T0003,4,2,g103,part,rtl
T0003,4,3,g016,noun,rtl
T0003,4,4,g016,noun,rtl
T0003,4,5,g051,verb,rtl
T0003,4,6,g022,noun,rtl
T0003,4,7,g001,det,rtl
T0003,5,1,g002,det,ltr
T0003,5,2,g002,det,ltr
T0003,5,3,g018,noun,ltr
T0003,5,4,g057,verb,ltr
T0003,5,5,g099,part,ltr
T0003,6,1,g096,noun,rtl
T0003,6,2,g018,noun,rtl
T0003,6,3,g018,noun,rtl
T0003,6,4,g001,det,rtl
T0004,1,1,g003,det,ltr
T0004,1,2,g016,noun,ltr
T0004,1,3,g051,verb,ltr
T0004,2,1,g075,rare,rtl
T0004,2,2,g075,num,rtl
T0004,2,3,g103,part,rtl
T0004,2,4,g017,noun,rtl
T0004,2,5,g051,verb,rtl
T0004,2,6,g016,noun,rtl
T0004,2,7,g011,det,rtl
T0004,3,1,g081,name,ltr
T0004,3,2,g086,name,ltr
T0004,3,3,g086,name,ltr
T0004,3,4,g096,part,ltr
T0004,3,5,g108,rare,ltr
T0004,3,6,g108,rare,ltr
T0004,3,7,g017,noun,ltr
T0004,3,8,g017,rare,ltr
