doc_id,line_id,position,token,raw_token
tatoeba_eng,1316,1,i,I
tatoeba_eng,1316,2,once,once
tatoeba_eng,1316,3,wanted,wanted
tatoeba_eng,1316,4,to,to
tatoeba_eng,1316,5,be,be
tatoeba_eng,1316,6,an,an
tatoeba_eng,1316,7,astrophysicist,astrophysicist.
tatoeba_eng,1342,1,i'm,I'm
tatoeba_eng,1342,2,not,not
tatoeba_eng,1342,3,a,a
tatoeba_eng,1342,4,real,real
tatoeba_eng,1342,5,fish,"fish,"
tatoeba_eng,1342,6,i'm,I'm
tatoeba_eng,1342,7,just,just
tatoeba_eng,1342,8,a,a
tatoeba_eng,1342,9,mere,mere
tatoeba_eng,1342,10,plushy,plushy.
tatoeba_eng,1362,1,that,That
tatoeba_eng,1362,2,is,is
tatoeba_eng,1362,3,somewhat,somewhat
tatoeba_eng,1362,4,explained,explained
tatoeba_eng,1362,5,at,at
tatoeba_eng,1362,6,the,the
tatoeba_eng,1362,7,end,end.
tatoeba_eng,1433,1,it's,It's
tatoeba_eng,1433,2,not,not
tatoeba_eng,1433,3,much,much
tatoeba_eng,1433,4,of,of
tatoeba_eng,1433,5,a,a
tatoeba_eng,1433,6,surprise,"surprise,"
tatoeba_eng,1433,7,is,is
tatoeba_eng,1433,8,it,it?
tatoeba_eng,1608,1,many,Many
tatoeba_eng,1608,2,people,people
tatoeba_eng,1608,3,drift,drift
tatoeba_eng,1608,4,through,through
tatoeba_eng,1608,5,life,life
tatoeba_eng,1608,6,without,without
tatoeba_eng,1608,7,a,a
tatoeba_eng,1608,8,purpose,purpose.
tatoeba_eng,1617,1,it,It
tatoeba_eng,1617,2,took,took
tatoeba_eng,1617,3,me,me
tatoeba_eng,1617,4,more,more
tatoeba_eng,1617,5,than,than
tatoeba_eng,1617,6,two,two
tatoeba_eng,1617,7,hours,hours
tatoeba_eng,1617,8,to,to
tatoeba_eng,1617,9,translate,translate
tatoeba_eng,1617,10,a,a
tatoeba_eng,1617,11,few,few
tatoeba_eng,1617,12,pages,pages
tatoeba_eng,1617,13,of,of
tatoeba_eng,1617,14,english,English.
